Wed Sep 18 14:53:38 2013    larvalMultitrack.profile

         304003 function calls in 58.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8561(GetId)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:6066(Get)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:456(<lambda>)
        1    0.000    0.000    0.006    0.006 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7549(_BootstrapApp)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7789(__init__)
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:520(SetMenuBar)
        1    0.000    0.000    0.000    0.000 {wx._windows_.Frame_swiginit}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1301(_setCallbackInfo)
        1    0.000    0.000    0.004    0.004 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13078(Fit)
        4    0.000    0.000    0.000    0.000 {wx._core_.MenuItem_GetId}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10570(SetSizer)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_SetUseBestVisual}
        2    0.000    0.000    0.000    0.000 {wx._misc_.Timer__setCallbackInfo}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:225(SetOptionInt)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6605(_wxPyInitTheFontList)
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_GetDirectory}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10536(SetAutoLayout)
        2    0.000    0.000    0.000    0.000 {wx._core_.Window_GetId}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:6207(SetInstallPrefix)
        1    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_swiginit}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11492(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7182(_setCallbackInfo)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitThePenList}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7445(SetUseBestVisual)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheFontList}
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:343(<lambda>)
        4    0.000    0.000    0.000    0.000 {method 'own' of 'PySwigObject' objects}
        5    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheBrushList}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6613(_wxPyInitTheBrushList)
        1    0.000    0.000    0.000    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:8(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11318(Append)
        2    0.000    0.000    0.000    0.000 {wx._misc_.Timer_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6617(_wxPyInitTheColourDatabase)
        1    0.000    0.000    0.000    0.000 {wx._windows_.Panel_swiginit}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:129(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7567(IsDisplayAvailable)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheColourDatabase}
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_SetAutoLayout}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:2083(<lambda>)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6493(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:423(<dictcomp>)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:1393(<lambda>)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6334(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6609(_wxPyInitThePenList)
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._core_.Menu_swiginit}
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_IsDisplayAvailable}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:814(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6582(<lambda>)


Wed Sep 18 14:53:38 2013    larvalMultitrack.profile

         304003 function calls in 58.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      925   35.290    0.038   35.290    0.038 {method 'read' of 'cv2.VideoCapture' objects}
        1   14.737   14.737   58.894   58.894 {wx._core_.PyApp_MainLoop}
        1    2.595    2.595    2.595    2.595 {wx._windows_.Dialog_ShowModal}
      922    1.345    0.001    1.659    0.002 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:55(draw_tObjs)
      923    0.709    0.001    0.709    0.001 {cv2.cvtColor}
      922    0.558    0.001    0.558    0.001 {cv2.medianBlur}
      922    0.543    0.001    0.878    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:114(TrackObjects)
      922    0.472    0.001    0.472    0.001 {cv2.findContours}
