Tue Aug 27 17:31:03 2013    larvalMultitrack.profile

         1487386 function calls (1487370 primitive calls) in 108.905 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6360(GetPen)
        1    0.000    0.000    0.000    0.000 {signal.signal}
     6242    0.016    0.000    0.476    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:8(_amax)
        2    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:364(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Close}
     6250    4.326    0.001    7.297    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:114(TrackObjects)
        1    0.000    0.000    0.000    0.000 {wx._core_.MenuBar_Append}
        1    0.000    0.000    0.000    0.000 {wx._core_.Menu_swiginit}
        4    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetFont}
       22    0.000    0.000    1.320    0.060 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:494(write_element)
        1    0.000    0.000    0.000    0.000 {wx._controls_.new_TextCtrl}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\genericpath.py:85(_splitext)
      2/1    0.000    0.000    0.003    0.003 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:721(write_struct)
        1    0.000    0.000    0.000    0.000 {wx._misc_.StandardPaths_SetInstallPrefix}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:6207(SetInstallPrefix)
     6250    0.073    0.000   16.819    0.003 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:83(updateTracking)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8023(RestoreStdio)
      9/2    0.000    0.000    1.322    0.661 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:594(write)
        7    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_swiginit}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12904(AddSpacer)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_swiginit}
     1250    0.004    0.000    0.004    0.000 {method 'normal' of 'mtrand.RandomState' objects}
     6250    1.948    0.000    2.019    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:90(updateTrackData)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7567(IsDisplayAvailable)
       28    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:520(SetMenuBar)
      149    0.047    0.000    0.047    0.000 {cv2.imshow}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4593(IsChecked)
     6250    0.805    0.000    0.805    0.000 {cv2.threshold}
        1    0.005    0.005    0.005    0.005 {wx._core_.Sizer_Fit}
        5    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2729(SetTickFreq)
      395    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.ndarray' objects}
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12326(<lambda>)
        4    0.000    0.000    0.003    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:73(__init__)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_FileDialog}
        1    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_swiginit}
    12529    0.006    0.000    0.006    0.000 {len}
     6250    0.019    0.000    0.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
      926    0.004    0.000    0.004    0.000 {cv2.circle}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheColourDatabase}
        5    0.000    0.000    0.000    0.000 {wx._controls_.Slider_SetTickFreq}
        1    0.000    0.000    2.196    2.196 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:258(OnOpen)
     6250    4.090    0.001    4.090    0.001 {cv2.findContours}
    12500    0.104    0.000    0.104    0.000 {cv2.getStructuringElement}
        3    0.001    0.000    0.001    0.000 {wx._core_.Window_Enable}
       33    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3884(_setOORInfo)
      149    0.000    0.000    0.000    0.000 {range}
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:499(__init__)
     1852    0.014    0.000    0.014    0.000 {cv2.putText}
        1    0.000    0.000    0.000    0.000 {wx._windows_.Frame_swiginit}
      395    0.003    0.000    0.003    0.000 {method 'rand' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_swiginit}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1313(Start)
        2    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.002    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:377(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_IsDisplayAvailable}
     6250    1.814    0.000    1.814    0.000 {cv2.erode}
     6448    0.003    0.000    0.003    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4372(<lambda>)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_Menu}
       79    0.999    0.013    0.999    0.013 {method 'write' of 'file' objects}
