Tue Aug 27 17:26:03 2013    2to1larvalMultitrack.profile

         6242457 function calls (6242409 primitive calls) in 576.965 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitTheColourDatabase}
        5    0.000    0.000    0.000    0.000 {wx._controls_.Slider_SetTickFreq}
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\ntpath.py:189(splitext)
    18750   13.422    0.001   13.422    0.001 {cv2.findContours}
    37500    0.342    0.000    0.342    0.000 {cv2.getStructuringElement}
        9    0.004    0.000    0.004    0.000 {wx._core_.Window_Enable}
       34    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3884(_setOORInfo)
        1    0.000    0.000    0.002    0.002 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:499(__init__)
        3    0.903    0.301    0.903    0.301 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {wx._windows_.Frame_swiginit}
      655    0.006    0.000    0.006    0.000 {method 'rand' of 'mtrand.RandomState' objects}
       28    0.011    0.000    0.011    0.000 {wx._controls_.TextCtrl_WriteText}
        6    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1313(Start)
        6    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.002    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:377(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.PyApp_IsDisplayAvailable}
  1133755    1.087    0.000    1.087    0.000 {isinstance}
    19705    0.008    0.000    0.008    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4372(<lambda>)
    18755    0.148    0.000    0.148    0.000 {numpy.core.multiarray.empty}
      237    0.632    0.003    0.632    0.003 {method 'write' of 'file' objects}
        1    0.000    0.000    0.001    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7900(__init__)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11506(GetId)
       84    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
        7    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetColour}
